length	uniform	notUniform	lowCap	lowCap2

100	7.000000000000062e-05	6.599999999999662e-05	5.400000000000543e-05	5.1999999999996493e-05
200	0.00012999999999999817	0.00012599999999999417	0.00010299999999999893	9.899999999999493e-05
300	0.00020900000000000085	0.00019399999999999973	0.00015099999999999836	0.0001470000000000013
400	0.0002479999999999982	0.0002459999999999962	0.0002040000000000028	0.00019099999999999673
500	0.00030999999999999084	0.0002999999999999947	0.0002420000000000061	0.0002390000000000031
600	0.00038799999999999946	0.0003999999999999976	0.00031899999999999984	0.0003009999999999957
700	0.0004729999999999873	0.0004170000000000007	0.0001799999999999996	0.00016800000000000148
800	0.00026900000000000535	0.00026500000000000135	0.00019900000000000473	0.00019199999999999773
900	0.0002940000000000026	0.0002979999999999927	0.00022400000000000198	0.00036899999999999433
10000	0.004264000000000004	0.0033090000000000064	0.0033360000000000056	0.0025219999999999965
100000	0.03429399999999999	0.03837999999999997	0.030293000000000014	0.028664000000000023
200000	0.06979800000000003	0.08071300000000003	0.06118099999999993	0.055325999999999986
300000	0.1167189999999998	0.1216740000000005	0.09510400000000008	0.08826599999999996
400000	0.15436799999999984	0.15425799999999956	0.11682299999999834	0.10510999999999981
500000	0.2029790000000009	0.19862499999999983	0.14334500000000006	0.1328320000000005
600000	0.23964299999999916	0.24122299999999974	0.17165999999999926	0.17521600000000248
700000	0.2808250000000001	0.2824329999999975	0.20914000000000144	0.1977170000000008
800000	0.3247889999999991	0.32374799999999837	0.2536239999999985	0.21310000000000073
900000	0.37503700000000606	0.3760469999999998	0.2758260000000021	0.24453099999999495
1000000	0.41103099999999415	0.4229780000000005	0.32261599999999646	0.2878849999999957
