length	random	sorted	reversed

100	0.0002349999999999991	0.0002380000000000021	0.0002259999999999901
200	0.0005034000000000011	0.0005040000000000044	0.0004809999999999953
300	0.0007988000000000023	0.00080100000000001	0.0008120000000000072
400	0.0011336000000000013	0.0010629999999999945	0.001121999999999998
500	0.0014529999999999988	0.00134999999999999	0.001576999999999995
600	0.0017907999999999952	0.0018190000000000012	0.00179
700	0.002155600000000005	0.002143000000000006	0.0024019999999999875
800	0.002448399999999995	0.0022799999999999765	0.002341999999999983
900	0.002851199999999998	0.0026359999999999995	0.0026289999999999925
10000	0.03836139999999999	0.037464	0.03459599999999996
100000	0.4543750000000001	0.422628	0.4143529999999993
200000	0.9867665999999998	0.9112749999999998	0.8535629999999994
300000	1.5797278	1.3184590000000007	1.315484999999999
400000	2.0885794000000004	1.844695999999999	1.8082289999999972
500000	2.7080855999999995	2.3129179999999963	2.3535249999999976
600000	3.2715229999999993	2.909128999999993	2.821787999999998
700000	3.9789848000000005	3.345055000000002	3.4445070000000015
800000	4.582494800000004	3.9517450000000167	3.7934079999999994
900000	5.219522799999993	4.3457190000000026	4.425277999999992
1000000	5.9034703999999865	4.780738999999983	4.660123999999996
