length	random	sorted	reversed

100	0.00024085044860839845	0.0001964569091796875	0.00019097328186035156
200	0.0005712509155273438	0.0004172325134277344	0.00039505958557128906
300	0.0008946418762207031	0.0006792545318603516	0.0006339550018310547
400	0.0013392448425292968	0.000885009765625	0.0008392333984375
500	0.001707172393798828	0.0012252330780029297	0.0009951591491699219
600	0.0020030975341796876	0.0014967918395996094	0.0012552738189697266
700	0.0023554325103759765	0.0017938613891601562	0.0017991065979003906
800	0.0026972293853759766	0.0023119449615478516	0.0018079280853271484
900	0.003072023391723633	0.0022444725036621094	0.0025663375854492188
10000	0.04532814025878906	0.032170772552490234	0.031180620193481445
100000	0.6657072544097901	0.4688746929168701	0.6312181949615479
200000	1.61130447387694	0.6556885242462158	1.1051926612854004
300000	2.5168448448181153	1.34075927734375	1.1744835376739502
400000	3.1225401401519775	1.4994018077850342	1.4908583164215088
500000	3.9591607093811034	1.9172489643096924	1.7993366718292236
600000	4.974384689331055	2.3238449096679688	2.287381172180176
700000	5.950980520248413	2.7198333740234375	2.6583359241485596
800000	6.842669248580933	3.1350088119506836	3.127593517303467
900000	7.783098554611206	3.6129262447357178	3.425983190536499
1000000	8.992131423950195	3.9808061122894287	3.749340772628784
