length	random	sorted	reversed

100	0.00034928321838378906	0.0004296302795410156	0.0004012584686279297
200	0.0008425712585449219	0.0008161067962646484	0.0007185935974121094
300	0.001308298110961914	0.0010840892791748047	0.0010707378387451172
400	0.0016237258911132812	0.0019555091857910156	0.0015540122985839844
500	0.002044010162353516	0.0020749568939208984	0.0020723342895507812
600	0.0024239063262939454	0.002451181411743164	0.0025300979614257812
700	0.002889728546142578	0.0025687217712402344	0.0026137828826904297
800	0.0032508373260498047	0.0030791759490966797	0.0029609203338623047
900	0.0038179397583007813	0.0038700103759765625	0.003813505172729492
10000	0.05449566841125488	0.05423164367675781	0.04842567443847656
100000	0.7265976428985595	0.5816783905029297	0.530353307723999
200000	1.5620758533477783	1.1054370403289795	1.0957045555114746
300000	2.4288246631622314	1.6688401699066162	1.6802558898925781
400000	3.4073637962341308	2.217034101486206	2.303022623062134
500000	4.452936506271362	2.908479928970337	2.9081380367279053
600000	5.407976198196411	3.589759588241577	3.6150121688842773
700000	6.504335975646972	4.10071325302124	4.1157379150390625
800000	7.549604654312134	4.742538690567017	4.617138624191284
900000	8.71793098449707	5.604277849197388	6.440174341201782
1000000	9.766406774520874	6.136606931686401	6.12925386428833
