length	random	sorted	reversed

100	0.00024785995483398435	0.0002377033233642578	0.0002181529998779297
200	0.0005091190338134766	0.0004894733428955078	0.00047588348388671875
300	0.0008124351501464844	0.0007450580596923828	0.0008428096771240234
400	0.0011033058166503907	0.0010578632354736328	0.001035928726196289
500	0.0014307498931884766	0.00141143798828125	0.001371622085571289
600	0.001856851577758789	0.001764059066772461	0.0020079612731933594
700	0.0022504329681396484	0.002765178680419922	0.002474546432495117
800	0.0024823665618896483	0.002354145050048828	0.0023097991943359375
900	0.003007364273071289	0.0025517940521240234	0.0026226043701171875
10000	0.03834972381591797	0.03733634948730469	0.03542757034301758
100000	0.44930028915405273	0.4237339496612549	0.401918888092041
200000	0.9496728420257569	0.8502099514007568	0.831038236618042
300000	1.5118257999420166	1.315983533859253	1.3475356101989746
400000	2.0484384059906007	1.8648250102996826	1.8516836166381836
500000	2.933916616439819	2.2696640491485596	2.2434892654418945
600000	3.3707008838653563	2.936403751373291	2.7901837825775146
700000	3.822718048095703	3.507657289505005	3.171311140060425
800000	4.42385950088501	3.830409526824951	3.8729164600372314
900000	5.040543270111084	4.1875996589660645	4.16455340385437
1000000	5.618039512634278	4.793076276779175	5.177487850189209
